"EmployeeID","FirstName","LastName","FullNameFNLN","FullNameLNFN","EmailAddress","JobTitle","PrimaryPhone","SecondaryPhone","Title","Notes","Attachments","WindowsUserName","AddedBy","AddedOn","ModifiedBy","ModifiedOn"
1,"Nancy","Freehafer","Nancy Freehafer","Freehafer, Nancy","nancy@northwindtraders.com","Sales Representative","123-555-0100","123-555-0200","Ms.",,"NancyF.jpg",,"Admin",17-2-2025 00:00:00,"Admin",17-2-2025 00:00:00
2,"Andrew","Cencini","Andrew Cencini","Cencini, Andrew","andrew@northwindtraders.com","Vice President, Sales","123-555-0101",,"Dr.","Joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales.","AndrewC.jpg",,"Admin",17-2-2025 00:00:00,"Admin",17-2-2025 00:00:00
3,"Jan","Kotas","Jan Kotas","Kotas, Jan","jan@northwindtraders.com","Sales Representative","123-555-0102",,"Dr.","Was hired as a sales associate and was promoted to sales representative.","JanK.jpg",,"Admin",17-2-2025 00:00:00,"Admin",17-2-2025 00:00:00
4,"Mariya","Sergienko","Mariya Sergienko","Sergienko, Mariya","mariya@northwindtraders.com","Sales Representative","123-555-0103",,,,"MariyaS.jpg",,"Admin",17-2-2025 00:00:00,"Admin",17-2-2025 00:00:00
5,"Steven","Thorpe","Steven Thorpe","Thorpe, Steven","steven@northwindtraders.com","Sales Manager","123-555-0104",,,"Joined the company as a sales representative and was promoted to sales manager.  Fluent in French.","StevenT.jpg",,"Admin",17-2-2025 00:00:00,"Admin",17-2-2025 00:00:00
6,"Michael","Neipper","Michael Neipper","Neipper, Michael","michael@northwindtraders.com","Sales Representative","123-555-0105",,,"Fluent in Japanese and can read and write French, Portuguese, and Spanish.","MichaelN.jpg",,"Admin",17-2-2025 00:00:00,"Admin",17-2-2025 00:00:00
7,"Robert","Zare","Robert Zare","Zare, Robert","robert@northwindtraders.com","Sales Representative","123-555-0106",,"Mr.",,"RobertZ.jpg",,"Admin",17-2-2025 00:00:00,"Admin",17-2-2025 00:00:00
8,"Laura","Giussani","Laura Giussani","Giussani, Laura","laura@northwindtraders.com","Sales Coordinator","123-555-0107",,,"Reads and writes French.","LauraG.jpg",,"Admin",17-2-2025 00:00:00,"Admin",17-2-2025 00:00:00
9,"Anne","Hellung-Larsen","Anne Hellung-Larsen","Hellung-Larsen, Anne","anne@northwindtraders.com","Sales Representative","1235550108",,,"Fluent in French and German.","AnneH.jpg",,"Admin",17-2-2025 00:00:00,"Admin",17-2-2025 00:00:00
10,"Internet","Sales","Internet Sales","Sales, Internet",,"Internet Bot",,,,,,,"Admin",17-2-2025 00:00:00,"Admin",17-2-2025 00:00:00
11,"Sunil","Jeurkar","Sunil Jeurkar","Jeurkar, Sunil",,"Sr. Manager",,,,,,"sunil","sunil",13-3-2025 08:35:47,"sunil",13-3-2025 08:35:47
